,Type_id,Strain_id
866,0,1664
867,0,1665
868,0,1666
869,0,1667
870,0,1676
871,0,1680
872,0,1682
873,0,1683
874,0,1685
875,0,1687
876,0,1688
877,0,1690
878,0,1691
879,0,1693
880,0,1695
881,0,1696
882,0,1701
883,0,1706
884,0,1708
885,0,1713
886,0,1715
887,0,1716
888,0,1717
889,0,1718
890,0,1719
891,0,1723
892,0,1725
893,0,1727
894,0,1729
895,0,1730
896,0,1733
897,0,1734
898,0,1736
899,0,1737
900,0,1739
901,0,1742
902,0,1743
903,0,1745
904,0,1747
905,0,1750
906,0,1753
907,0,1755
908,0,1760
909,0,1762
910,0,1763
911,0,1768
912,0,1769
913,0,1770
914,0,1771
915,0,1772
916,0,1775
917,0,1776
918,0,1777
919,0,1778
920,0,1779
921,0,1782
922,0,1784
923,0,1785
924,0,1792
925,0,1794
926,0,1796
927,0,1797
928,0,1799
929,0,1800
930,0,1803
931,0,1804
932,0,1806
933,0,1807
934,0,1808
935,0,1809
936,0,1810
937,0,1811
938,0,1813
939,0,1814
940,0,1815
941,0,1816
942,0,1822
943,0,1823
944,0,1824
945,0,1826
946,0,1827
947,0,1828
948,0,1829
949,0,1831
950,0,1832
951,0,1833
952,0,1834
953,0,1837
954,0,1839
955,0,1844
956,0,1847
957,0,1849
958,0,1851
959,0,1852
960,0,1856
961,0,1858
962,0,1859
963,0,1860
964,0,1861
965,0,1862
966,0,1863
967,0,1864
968,0,1867
969,0,1868
970,0,1869
971,0,1872
972,0,1875
973,0,1876
974,0,1879
975,0,1880
976,0,1883
977,0,1884
978,0,1885
979,0,1886
980,0,1890
981,0,1891
982,0,1895
983,0,1896
984,0,1897
985,0,1899
986,0,1900
987,0,1901
988,0,1903
989,0,1907
990,0,1908
991,0,1909
992,0,1914
993,0,1915
994,0,1916
995,0,1918
996,0,1921
997,0,1922
998,0,1926
999,0,1927
1000,0,1928
1001,0,1930
1002,0,1931
1003,0,1932
1004,0,1934
1005,0,1935
1006,0,1937
1007,0,1939
1008,0,1941
1009,0,1943
1010,0,1944
1011,0,1945
1012,0,1947
1013,0,1948
1014,0,1951
1015,0,1954
1016,0,1955
1017,0,1957
1018,0,1958
1019,0,1968
1020,0,1969
1021,0,1970
1022,0,1975
1023,0,1976
1024,0,1978
1025,0,1982
1026,0,1983
1027,0,1987
1028,0,1989
1029,0,1992
1030,0,1993
1031,0,1996
1032,0,1999
1033,0,2001
1034,0,2002
1035,0,2006
1036,0,2007
1037,0,2012
1038,0,2015
1039,0,2016
1040,0,2020
1041,0,2021
1042,0,2024
1043,0,2026
1044,0,2027
1045,0,2028
1046,0,2034
1047,0,2035
1048,0,2036
1049,0,2038
1050,0,2042
1051,0,2051
1052,0,2053
1053,0,2057
1054,0,2058
1055,0,2059
1056,0,2060
1057,0,2062
1058,0,2064
1059,0,2066
1060,0,2067
1061,0,2068
1062,0,2071
1063,0,2076
1064,0,2077
1065,0,2078
1066,0,2079
1067,0,2081
1068,0,2083
1069,0,2084
1070,0,2085
1071,0,2088
1072,0,2093
1073,0,2094
1074,0,2095
1075,0,2096
1076,0,2097
1077,0,2098
1078,0,2099
1079,0,2102
1080,0,2103
1081,0,2104
1082,0,2105
1083,0,2106
1084,0,2107
1085,0,2110
1086,0,2114
1087,0,2116
1088,0,2117
1089,0,2119
1090,0,2121
1091,0,2123
1092,0,2126
1093,0,2128
1094,0,2130
1095,0,2131
1096,0,2133
1097,0,2135
1098,0,2138
1099,0,2140
1100,0,2141
1101,0,2145
1102,0,2147
1103,0,2148
1104,0,2150
1105,0,2151
1106,0,2152
1107,0,2153
1108,0,2154
1109,0,2155
1110,0,2156
1111,0,2157
1112,0,2158
1113,0,2159
1114,0,2164
1115,0,2165
1116,0,2168
1117,0,2170
1118,0,2172
1119,0,2173
1120,0,2176
1121,0,2177
1122,0,2179
1123,0,2181
1124,0,2182
1125,0,2183
1126,0,2184
1127,0,2185
1128,0,2186
1129,0,2188
1130,0,2189
1131,0,2194
1132,0,2195
1133,0,2196
1134,0,2200
1135,0,2202
1136,0,2203
1137,0,2205
1138,0,2210
1139,0,2214
1140,0,2217
1141,0,2218
1142,0,2219
1143,0,2221
1144,0,2222
1145,0,2223
1146,0,2225
1147,0,2227
1148,0,2229
1149,0,2230
1150,0,2231
1151,0,2232
1152,0,2234
1153,0,2236
1154,0,2237
1155,0,2243
1156,0,2245
1157,0,2246
1158,0,2247
1159,0,2248
1160,0,2249
1161,0,2250
1162,0,2251
1163,0,2255
1164,0,2256
1165,0,2262
1166,0,2268
1167,0,2269
1168,0,2270
1169,0,2271
1170,0,2272
1171,0,2274
1172,0,2276
1173,0,2279
1174,0,2280
1175,0,2281
1176,0,2282
1177,0,2283
1178,0,2285
1179,0,2289
1180,0,2290
1181,0,2291
1182,0,2294
1183,0,2296
1184,0,2297
1185,0,2298
1186,0,2299
1187,0,2300
1188,0,2301
1189,0,2302
1190,0,2303
1191,0,2304
1192,0,2307
1193,0,2308
1194,0,2309
1195,0,2310
1196,0,2311
1197,0,2312
1198,0,2318
1199,0,2320
1200,0,2322
1201,0,2324
1202,0,2325
1203,0,2326
1204,0,2327
1205,0,2328
1206,0,2330
1207,0,2331
1208,0,2339
1209,0,2341
1210,0,2344
1211,0,2346
1212,1,5
1213,1,7
1214,1,9
1215,1,12
1216,1,14
1217,1,15
1218,1,16
1219,1,17
1220,1,18
1221,1,19
1222,1,26
1223,1,28
1224,1,29
1225,1,34
1226,1,37
1227,1,39
1228,1,40
1229,1,41
1230,1,43
1231,1,44
1232,1,45
1233,1,47
1234,1,48
1235,1,49
1236,1,50
1237,1,51
1238,1,59
1239,1,72
1240,1,73
1241,1,77
1242,1,80
1243,1,84
1244,1,85
1245,1,86
1246,1,88
1247,1,98
1248,1,101
1249,1,102
1250,1,108
1251,1,109
1252,1,110
1253,1,111
1254,1,113
1255,1,114
1256,1,122
1257,1,127
1258,1,136
1259,1,142
1260,1,143
1261,1,147
1262,1,149
1263,1,152
1264,1,156
1265,1,161
1266,1,163
1267,1,173
1268,1,175
1269,1,179
1270,1,182
1271,1,184
1272,1,190
1273,1,192
1274,1,199
1275,1,200
1276,1,204
1277,1,209
1278,1,210
1279,1,214
1280,1,217
1281,1,218
1282,1,220
1283,1,222
1284,1,226
1285,1,228
1286,1,230
1287,1,232
1288,1,233
1289,1,234
1290,1,236
1291,1,237
1292,1,238
1293,1,239
1294,1,244
1295,1,246
1296,1,250
1297,1,252
1298,1,255
1299,1,257
1300,1,258
1301,1,264
1302,1,265
1303,1,269
1304,1,270
1305,1,271
1306,1,273
1307,1,275
1308,1,277
1309,1,281
1310,1,286
1311,1,289
1312,1,298
1313,1,299
1314,1,301
1315,1,304
1316,1,306
1317,1,308
1318,1,312
1319,1,314
1320,1,318
1321,1,328
1322,1,329
1323,1,330
1324,1,341
1325,1,348
1326,1,349
1327,1,351
1328,1,352
1329,1,370
1330,1,373
1331,1,374
1332,1,377
1333,1,380
1334,1,384
1335,1,385
1336,1,387
1337,1,388
1338,1,389
1339,1,392
1340,1,393
1341,1,394
1342,1,397
1343,1,400
1344,1,402
1345,1,404
1346,1,407
1347,1,410
1348,1,411
1349,1,417
1350,1,418
1351,1,422
1352,1,424
1353,1,425
1354,1,428
1355,1,430
1356,1,434
1357,1,435
1358,1,441
1359,1,445
1360,1,450
1361,1,456
1362,1,458
1363,1,462
1364,1,465
1365,1,482
1366,1,485
1367,1,496
1368,1,499
1369,1,508
1370,1,521
1371,1,525
1372,1,530
1373,1,531
1374,1,532
1375,1,542
1376,1,546
1377,1,562
1378,1,568
1379,1,570
1380,1,571
1381,1,573
1382,1,577
1383,1,581
1384,1,583
1385,1,586
1386,1,587
1387,1,588
1388,1,596
1389,1,602
1390,1,605
1391,1,606
1392,1,608
1393,1,609
1394,1,614
1395,1,615
1396,1,616
1397,1,617
1398,1,622
1399,1,623
1400,1,625
1401,1,628
1402,1,633
1403,1,635
1404,1,637
1405,1,638
1406,1,639
1407,1,640
1408,1,645
1409,1,646
1410,1,647
1411,1,648
1412,1,650
1413,1,651
